"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2016","630.6","608.1","631.7","556.8","66.06K","3.70%"
"Jul 03, 2016","595.0","630.6","633.7","553.7","63.92K","-5.65%"
"Jul 10, 2016","603.6","595.0","611.5","582.0","34.39K","1.43%"
"Jul 17, 2016","600.9","603.6","622.1","590.6","35.75K","-0.44%"
"Jul 24, 2016","585.3","600.9","605.5","582.6","34.04K","-2.60%"
"Jul 31, 2016","534.7","585.3","588.7","431.5","93.61K","-8.64%"
"Aug 07, 2016","525.4","534.7","548.0","521.7","37.22K","-1.75%"
"Aug 14, 2016","515.1","525.4","526.3","502.2","34.74K","-1.96%"
"Aug 21, 2016","508.9","515.1","522.4","506.2","29.57K","-1.20%"
"Aug 28, 2016","531.5","508.9","535.5","507.2","33.13K","4.43%"
"Sep 04, 2016","556.5","531.5","558.5","530.2","34.12K","4.71%"
"Sep 11, 2016","542.8","556.5","561.9","526.0","32.07K","-2.47%"
"Sep 18, 2016","539.3","542.8","546.7","522.9","32.76K","-0.64%"
"Sep 25, 2016","549.9","539.3","555.5","534.0","31.93K","1.96%"
"Oct 02, 2016","555.6","549.9","560.3","543.2","29.43K","1.04%"
"Oct 09, 2016","582.6","555.6","587.9","550.9","37.13K","4.87%"
"Oct 16, 2016","601.7","582.6","609.6","572.1","37.29K","3.27%"
"Oct 23, 2016","645.1","601.7","650.6","596.0","48.28K","7.22%"
"Oct 30, 2016","631.8","645.1","672.5","605.2","60.59K","-2.06%"
"Nov 06, 2016","647.5","631.8","668.9","626.2","49.43K","2.48%"
"Nov 13, 2016","708.5","647.5","716.8","629.2","60.68K","9.41%"
"Nov 20, 2016","696.5","708.5","713.5","671.8","49.67K","-1.68%"
"Nov 27, 2016","727.8","696.5","758.4","690.2","47.23K","4.48%"
"Dec 04, 2016","736.7","727.8","747.4","701.0","52.92K","1.24%"
"Dec 11, 2016","760.0","736.7","762.2","728.8","45.99K","3.16%"
"Dec 18, 2016","855.0","760.0","888.1","752.7","83.74K","12.50%"
"Dec 25, 2016","913.7","855.0","940.6","811.8","73.76K","6.86%"
"Jan 01, 2017","854.1","913.7","1,088.3","773.3","304.56K","-6.52%"
"Jan 08, 2017","770.4","854.1","890.9","713.1","129.12K","-9.80%"
"Jan 15, 2017","864.6","770.4","871.5","765.0","70.04K","12.23%"
"Jan 22, 2017","861.5","864.6","880.0","830.1","50.96K","-0.36%"
"Jan 29, 2017","959.8","861.5","967.0","849.8","61.50K","11.41%"
"Feb 05, 2017","950.4","959.8","1,007.2","854.4","89.65K","-0.98%"
"Feb 12, 2017","998.1","950.4","1,005.7","919.3","50.16K","5.02%"
"Feb 19, 2017","1,090.4","998.1","1,147.7","979.3","87.69K","9.24%"
"Feb 26, 2017","1,189.7","1,090.4","1,226.4","1,072.9","75.19K","9.11%"
"Mar 05, 2017","1,105.8","1,189.7","1,236.1","956.7","133.26K","-7.05%"
"Mar 12, 2017","883.1","1,105.8","1,181.6","854.7","161.48K","-20.14%"
"Mar 19, 2017","878.5","883.1","1,032.1","817.3","159.04K","-0.52%"
"Mar 26, 2017","1,018.4","878.5","1,034.1","862.8","108.40K","15.92%"
"Apr 02, 2017","1,113.8","1,018.4","1,139.3","1,005.0","90.38K","9.37%"
"Apr 09, 2017","1,098.7","1,113.8","1,159.2","1,080.8","61.86K","-1.36%"
"Apr 16, 2017","1,150.0","1,098.7","1,170.8","1,084.4","54.27K","4.67%"
"Apr 23, 2017","1,214.9","1,150.0","1,227.3","1,139.2","72.93K","5.65%"
"Apr 30, 2017","1,407.4","1,214.9","1,478.1","1,196.2","135.34K","15.84%"
"May 07, 2017","1,637.8","1,407.4","1,731.6","1,387.9","163.50K","16.37%"
"May 14, 2017","1,805.7","1,637.8","1,810.0","1,551.2","124.15K","10.25%"
"May 21, 2017","1,801.0","1,805.7","2,420.8","1,657.0","262.76K","-0.26%"
"May 28, 2017","2,270.0","1,801.0","2,302.9","1,799.0","174.39K","26.04%"
"Jun 04, 2017","2,522.9","2,270.0","2,615.3","2,216.7","148.41K","11.14%"
"Jun 11, 2017","2,356.5","2,522.9","2,624.1","1,921.8","199.35K","-6.60%"
"Jun 18, 2017","2,288.3","2,356.5","2,484.9","2,194.1","118.29K","-2.89%"
"Jun 25, 2017","2,109.4","2,288.3","2,343.8","1,987.1","132.80K","-7.82%"
"Jul 02, 2017","2,244.1","2,109.4","2,324.1","2,075.9","82.41K","6.38%"
"Jul 09, 2017","1,725.2","2,244.1","2,251.6","1,722.7","129.79K","-23.12%"
"Jul 16, 2017","2,424.4","1,725.2","2,493.7","1,607.0","183.97K","40.53%"
"Jul 23, 2017","2,318.4","2,424.4","2,438.3","2,118.5","116.45K","-4.37%"
"Jul 30, 2017","2,759.2","2,318.4","2,799.1","2,235.0","120.30K","19.02%"
"Aug 06, 2017","3,289.2","2,759.2","3,338.5","2,673.7","111.33K","19.21%"
"Aug 13, 2017","3,555.7","3,289.2","3,846.5","3,235.5","146.96K","8.10%"
"Aug 20, 2017","3,663.5","3,555.7","3,776.4","3,088.8","89.42K","3.03%"
"Aug 27, 2017","3,893.8","3,663.5","4,180.3","3,532.1","92.90K","6.29%"
"Sep 03, 2017","3,635.8","3,893.8","4,037.9","3,484.0","115.28K","-6.63%"
"Sep 10, 2017","3,125.8","3,635.8","3,685.7","2,496.3","186.74K","-14.03%"
"Sep 17, 2017","3,182.3","3,125.8","3,468.2","2,936.5","110.07K","1.81%"
"Sep 24, 2017","3,666.9","3,182.3","3,681.0","3,068.6","88.60K","15.23%"
"Oct 01, 2017","3,767.7","3,666.9","3,796.4","3,541.4","62.39K","2.75%"
"Oct 08, 2017","4,884.3","3,767.7","4,887.2","3,752.2","98.13K","29.64%"
"Oct 15, 2017","5,127.4","4,884.3","5,267.0","4,379.7","65.34K","4.98%"
"Oct 22, 2017","4,975.2","5,127.4","5,170.0","4,626.8","38.73K","-2.97%"
"Oct 29, 2017","6,384.0","4,975.2","6,449.7","4,914.5","99.33K","28.32%"
"Nov 05, 2017","5,487.1","6,383.8","6,793.5","5,333.4","139.45K","-14.05%"
"Nov 12, 2017","6,602.5","5,487.1","6,791.4","4,726.5","142.45K","20.33%"
"Nov 19, 2017","7,273.5","6,602.5","7,275.2","6,519.2","85.04K","10.16%"
"Nov 26, 2017","9,251.0","7,273.5","9,598.5","7,269.8","178.63K","27.19%"
"Dec 03, 2017","12,697.7","9,251.0","15,510.4","9,061.6","296.64K","37.26%"
"Dec 10, 2017","16,376.3","12,681.5","16,540.8","11,077.1","142.35K","28.97%"
"Dec 17, 2017","12,503.8","16,374.5","16,670.9","9,081.5","211.79K","-23.65%"
"Dec 24, 2017","10,654.4","12,503.8","13,767.7","10,280.6","148.69K","-14.79%"
"Dec 31, 2017","14,338.6","10,652.1","14,359.2","10,515.1","108.64K","34.58%"
"Jan 07, 2018","11,940.8","14,304.1","14,313.0","11,097.7","44.48K","-16.72%"
"Jan 14, 2018","10,662.0","11,940.8","12,052.4","7,579.1","-","-10.71%"
"Jan 21, 2018","9,203.6","10,665.1","10,669.3","8,106.7","144.77K","-13.68%"
"Jan 28, 2018","7,427.1","9,203.6","9,608.3","6,029.9","250.08K","-19.30%"
"Feb 04, 2018","7,007.8","7,434.4","8,100.4","4,741.2","359.66K","-5.65%"
"Feb 11, 2018","8,974.8","7,007.8","9,004.6","6,439.2","167.76K","28.07%"
"Feb 18, 2018","7,892.8","8,989.0","10,355.7","6,620.8","185.72K","-12.06%"
"Feb 25, 2018","9,247.2","7,895.7","9,322.1","7,377.8","122.15K","17.16%"
"Mar 04, 2018","7,149.4","9,245.8","9,458.7","6,817.8","153.25K","-22.69%"
"Mar 11, 2018","6,408.2","7,149.4","8,065.5","6,227.9","183.59K","-10.37%"
"Mar 18, 2018","6,927.5","6,406.4","7,473.9","5,965.6","147.79K","8.10%"
"Mar 25, 2018","5,627.3","6,938.5","7,061.0","5,345.9","155.95K","-18.77%"
"Apr 01, 2018","5,622.7","5,627.3","6,155.3","5,253.5","116.64K","-0.08%"
"Apr 08, 2018","6,510.7","5,622.7","6,690.7","5,391.1","111.11K","15.79%"
"Apr 15, 2018","7,264.3","6,510.6","7,381.1","6,346.0","100.58K","11.57%"
"Apr 22, 2018","7,701.1","7,264.3","7,978.4","7,116.8","101.44K","6.01%"
"Apr 29, 2018","8,199.3","7,701.1","8,316.0","7,362.0","66.40K","6.47%"
"May 06, 2018","7,097.5","8,215.5","8,281.0","6,894.9","76.13K","-13.44%"
"May 13, 2018","7,005.7","7,105.6","7,349.0","6,858.5","76.49K","-1.29%"
"May 20, 2018","6,312.6","7,005.0","7,496.8","6,216.6","72.16K","-9.89%"
"May 27, 2018","6,559.9","6,312.6","6,602.8","6,097.8","65.08K","3.92%"
"Jun 03, 2018","6,398.8","6,559.9","6,671.1","6,337.7","47.19K","-2.46%"
"Jun 10, 2018","5,616.7","6,399.0","6,414.1","5,246.7","83.46K","-12.22%"
"Jun 17, 2018","5,305.1","5,616.6","5,925.5","4,753.7","73.07K","-5.55%"
"Jun 24, 2018","5,466.3","5,305.1","5,617.6","4,824.7","68.97K","3.04%"
"Jul 01, 2018","5,759.7","5,466.3","5,933.2","3,840.6","43.96K","5.37%"
"Jul 08, 2018","5,418.3","5,758.7","5,791.6","5,239.5","59.54K","-5.93%"
"Jul 15, 2018","6,368.1","5,418.3","6,604.5","5,418.3","85.19K","17.53%"
"Jul 22, 2018","7,064.9","6,424.4","7,268.8","6,315.1","93.27K","10.94%"
"Jul 29, 2018","6,057.6","7,065.2","7,428.0","5,993.3","74.48K","-14.26%"
"Aug 05, 2018","5,474.1","6,057.6","6,359.0","5,117.0","86.67K","-9.63%"
"Aug 12, 2018","5,607.8","5,477.2","5,863.8","5,179.0","94.84K","2.44%"
"Aug 19, 2018","5,799.2","5,607.8","5,943.1","5,400.4","68.99K","3.41%"
"Aug 26, 2018","6,191.2","5,799.1","6,243.6","5,675.2","58.38K","6.76%"
"Sep 02, 2018","5,374.0","6,191.2","6,406.0","5,327.5","82.08K","-13.20%"
"Sep 09, 2018","5,631.9","5,374.0","5,670.5","5,139.8","61.40K","4.80%"
"Sep 16, 2018","5,721.1","5,632.1","5,811.9","5,254.5","65.72K","1.58%"
"Sep 23, 2018","5,680.9","5,721.1","7,111.1","4,490.7","52.42K","-0.70%"
"Sep 30, 2018","5,697.7","5,684.6","6,974.4","4,291.1","40.10K","0.30%"
"Oct 07, 2018","5,414.6","5,697.7","6,444.1","5,178.7","54.06K","-4.97%"
"Oct 14, 2018","5,620.4","5,414.5","6,007.8","5,368.1","60.51K","3.80%"
"Oct 21, 2018","5,662.3","5,620.4","5,711.3","5,602.6","33.48K","0.74%"
"Oct 28, 2018","5,589.7","5,662.3","5,697.3","5,500.8","33.71K","-1.28%"
"Nov 04, 2018","5,648.8","5,612.1","5,749.5","5,591.9","38.34K","1.06%"
"Nov 11, 2018","4,858.3","5,676.3","5,698.9","4,680.3","77.99K","-13.99%"
"Nov 18, 2018","3,366.4","4,858.0","4,980.4","3,274.9","155.19K","-30.71%"
"Nov 25, 2018","3,695.9","3,366.2","3,907.0","3,095.5","172.48K","9.79%"
"Dec 02, 2018","3,021.6","3,695.8","3,819.4","2,847.8","136.77K","-18.24%"
"Dec 09, 2018","2,853.3","3,022.0","3,249.0","2,809.6","95.76K","-5.57%"
"Dec 16, 2018","3,530.7","2,853.3","3,680.6","2,853.3","138.92K","23.74%"
"Dec 23, 2018","3,303.5","3,530.8","3,773.1","3,157.3","96.25K","-6.44%"
"Dec 30, 2018","3,369.0","3,305.8","3,517.4","3,232.1","67.50K","1.98%"
