"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 06, 2013","97.42","99.26","99.31","97.49","14.22K","-1.80%"
"Jan 13, 2013","98.43","97.47","98.38","97.11","7.40K","1.04%"
"Jan 20, 2013","98.48","98.81","99.27","98.19","13.75K","0.05%"
"Jan 27, 2013","97.61","98.89","99.01","97.32","7.24K","-0.88%"
"Feb 03, 2013","100.36","98.50","100.43","98.13","3.40K","2.82%"
"Feb 10, 2013","101.07","100.59","101.19","99.80","3.83K","0.71%"
"Feb 17, 2013","101.51","100.86","101.69","100.78","3.18K","0.44%"
"Feb 24, 2013","103.58","101.88","102.95","100.96","3.55K","2.04%"
"Mar 03, 2013","105.84","103.12","105.62","103.12","13.85K","2.18%"
"Mar 10, 2013","106.18","105.68","107.14","105.44","2.96K","0.32%"
"Mar 17, 2013","106.30","106.13","107.07","106.08","4.14K","0.11%"
"Mar 24, 2013","108.50","107.26","108.70","107.12","2.43K","2.07%"
"Mar 31, 2013","105.52","108.69","109.08","106.64","8.86K","-2.75%"
"Apr 07, 2013","107.40","106.13","108.29","105.97","3.91K","1.78%"
"Apr 14, 2013","105.44","107.43","107.43","105.10","5.76K","-1.82%"
"Apr 21, 2013","107.88","106.45","108.17","105.91","3.31K","2.31%"
"Apr 28, 2013","109.54","107.70","109.72","106.75","1.66K","1.54%"
"May 05, 2013","111.82","109.41","111.62","109.30","6.71K","2.08%"
"May 12, 2013","115.13","111.60","115.12","111.35","4.66K","2.96%"
"May 19, 2013","113.06","115.19","116.19","112.95","18.17K","-1.80%"
"May 26, 2013","113.97","113.38","115.71","112.87","11.23K","0.80%"
"Jun 02, 2013","110.71","111.63","112.17","108.93","5.70K","-2.86%"
"Jun 09, 2013","109.10","111.05","111.10","107.31","7.33K","-1.45%"
"Jun 16, 2013","107.63","109.59","110.11","107.98","12.14K","-1.35%"
"Jun 23, 2013","110.60","107.40","110.25","106.28","11.50K","2.76%"
"Jun 30, 2013","112.58","110.14","113.07","110.14","16.44K","1.79%"
"Jul 07, 2013","114.50","113.90","114.88","113.81","4.07K","1.71%"
"Jul 14, 2013","114.67","114.93","115.45","113.50","9.70K","0.15%"
"Jul 21, 2013","112.89","114.79","115.15","112.83","5.42K","-1.55%"
"Jul 28, 2013","114.45","113.35","115.40","113.30","25.63K","1.38%"
"Aug 04, 2013","112.99","114.65","114.96","112.76","7.19K","-1.28%"
"Aug 11, 2013","111.31","112.84","114.06","110.96","0.99K","-1.49%"
"Aug 18, 2013","110.69","110.58","111.01","109.41","3.00K","-0.56%"
"Aug 25, 2013","110.64","110.17","111.17","109.13","3.68K","-0.05%"
"Sep 01, 2013","112.60","111.38","113.03","111.14","26.74K","1.77%"
"Sep 08, 2013","113.61","112.53","113.73","112.22","1.15K","0.90%"
"Sep 15, 2013","113.65","114.48","114.48","113.51","4.81K","0.04%"
"Sep 22, 2013","111.65","113.31","113.41","111.61","4.72K","-1.76%"
"Sep 29, 2013","110.83","111.28","111.99","110.20","20.85K","-0.73%"
"Oct 06, 2013","111.92","110.43","111.92","109.09","5.46K","0.98%"
"Oct 13, 2013","113.72","111.96","114.18","111.66","8.55K","1.61%"
"Oct 20, 2013","113.97","114.14","114.41","113.50","2.57K","0.22%"
"Oct 27, 2013","116.64","114.26","116.71","114.26","2.52K","2.34%"
"Nov 03, 2013","118.21","117.04","119.60","116.90","10.01K","1.35%"
"Nov 10, 2013","119.42","118.68","119.86","117.26","2.81K","1.02%"
"Nov 17, 2013","119.32","119.53","119.53","118.45","4.65K","-0.08%"
"Nov 24, 2013","119.54","119.32","120.24","119.07","2.14K","0.18%"
"Dec 01, 2013","118.16","119.72","119.90","117.53","9.80K","-1.15%"
"Dec 08, 2013","116.19","118.16","118.57","115.83","2.96K","-1.67%"
"Dec 15, 2013","119.49","116.45","119.33","116.21","5.20K","2.84%"
"Dec 22, 2013","120.14","120.02","120.30","119.12","41.42K","0.54%"
"Dec 29, 2013","121.14","120.35","121.43","119.88","5.43K","0.83%"
"Jan 05, 2014","120.69","121.25","122.21","120.22","6.27K","-0.37%"
"Jan 12, 2014","122.28","121.13","122.30","119.78","3.37K","1.32%"
"Jan 19, 2014","118.51","122.12","122.86","118.98","11.94K","-3.08%"
"Jan 26, 2014","118.94","118.16","118.99","116.93","18.14K","0.36%"
"Feb 02, 2014","117.89","118.66","119.08","115.84","14.32K","-0.88%"
"Feb 09, 2014","120.62","118.31","120.69","118.31","15.61K","2.32%"
"Feb 16, 2014","121.09","121.06","122.48","119.77","11.00K","0.39%"
"Feb 23, 2014","121.69","120.90","122.20","120.72","6.92K","0.50%"
